Id,Label,timeset,Name_Chinese,Name_English,URL,indegree,number of investment events,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1393212,Shenzhen Capital Group,,深创投,Shenzhen Capital Group,https://data.cyzone.cn/capital/1393212.html,82,464,46,128,4,0.533266,0.586484,8532.898325
1393211,IDG,,IDG资本,IDG Capital,https://data.cyzone.cn/capital/1393211.html,98,459,69,167,4,0.542564,0.60712,6710.9427
1393213,Sequoia,,红杉资本中国基金,Sequoia Capital,https://data.cyzone.cn/capital/1393213.html,97,392,66,163,4,0.539246,0.602552,6704.051654
1393333,ZhenFund,,真格基金,ZhenFund,https://data.cyzone.cn/capital/1393333.html,84,388,68,152,4,0.519646,0.585066,6171.161851
1393533,Tencent,,腾讯投资,Tencent Investment,https://data.cyzone.cn/capital/1393533.html,74,372,46,120,4,0.50622,0.562539,3900.395383
1393268,MatrixPartners,,经纬中国,MatrixPartners China,https://data.cyzone.cn/capital/1393268.html,82,347,74,156,4,0.527944,0.592785,5764.485129
1393234,Fortune,,达晨创投,Fortune Venture,https://data.cyzone.cn/capital/1393234.html,60,283,45,105,4,0.514091,0.56632,5609.562705
1395357,CCB,,建设银行,China Construction Bank,https://data.cyzone.cn/capital/1395357.html,8,283,22,30,4,0.397147,0.429742,1270.686618
3222174,Oriental Fortune,,东方富海,Oriental Fortune,https://data.cyzone.cn/capital/3222174.html,54,239,32,86,4,0.508165,0.554663,4098.315638
1393329,Sinovation,,创新工场,Sinovation Ventures,https://data.cyzone.cn/capital/1393329.html,51,238,47,98,4,0.488909,0.542376,2479.021669
1393398,K2VC,,险峰（K2VC）,K2VC,https://data.cyzone.cn/capital/1393398.html,40,231,47,87,4,0.482224,0.533239,1903.95178
3107296,CITIC,,中信证券,CITIC Securities,https://data.cyzone.cn/capital/3107296.html,34,221,20,54,5,0.424218,0.469502,2267.318744
1393679,Cowin,,同创伟业,Cowin Capital,https://data.cyzone.cn/capital/1393679.html,44,218,36,80,4,0.494393,0.536862,2509.15027
1393598,Inno Angel,,英诺天使基金,Inno Angel Fund,https://data.cyzone.cn/capital/1393598.html,50,217,39,89,4,0.480036,0.531664,3241.385033
1394692,New Margin,,联创永宣,New Margin Capital,https://data.cyzone.cn/capital/1394692.html,44,216,33,77,4,0.492093,0.535129,2928.326877
1166539,Legend,,君联资本,Legend Capital,https://data.cyzone.cn/capital/1166539.html,59,214,49,108,4,0.500947,0.551827,3127.187654
3210166,Tian Xing,,天星资本,Tianxing Capital,https://data.cyzone.cn/capital/3210166.html,32,204,21,53,4,0.456034,0.496377,1737.744104
1393577,CSC Group,,中科招商,China Science & Merchants Investment Management Group,https://data.cyzone.cn/capital/1393577.html,27,202,24,51,4,0.452524,0.491493,2610.204546
3292610,Kunwu Jiuding,,九鼎投资,Kunwu Jiuding Investment Holdings,https://data.cyzone.cn/capital/3292610.html,23,197,16,39,4,0.44342,0.478891,1426.536132
1393349,Plum,,梅花创投,Plum Ventures,https://data.cyzone.cn/capital/1393349.html,42,191,37,79,4,0.47106,0.519061,1980.451234
1395545,Zi Jin Hi-Tech,,紫金科创,Zijin Hi-Tech Venture Capital,https://data.cyzone.cn/capital/1395545.html,3,188,3,6,5,0.30091,0.314776,51.088844
1564704,Alibaba,,阿里巴巴,Alibaba Group,https://data.cyzone.cn/capital/1564704.html,35,185,13,48,4,0.451751,0.490706,456.178782
1394727,E Fund,,易方达基金,E Fund Management,https://data.cyzone.cn/capital/1394727.html,15,177,17,32,4,0.422862,0.459042,1876.740352
1393334,Shun Wei,,顺为资本,Shunwei Capital,https://data.cyzone.cn/capital/1393334.html,58,167,43,101,4,0.507678,0.559389,3054.264309
1395657,Optical Valley,,光谷人才基金,Optical Valley,https://data.cyzone.cn/capital/1395657.html,5,163,8,13,4,0.385007,0.409893,165.711123
