event_id,investee_id,investee_shortname,investee_fullname,investee_url,investor_number,investor_ids,investor_leader_id,investor_names,investor_urls,series,amount,date,industries,page_number
2015123132219609999999,3221960,商络电子,南京商络电子股份有限公司,https://data.cyzone.cn/company/3221960.html,0,9999999,9999999,未透露,unknown,新三板挂牌,未透露,2015-12-31,"仪器设备,智能制造装备,智能制造",1
2015123113202531398899,1320253,软通动力,软通动力信息技术（集团）有限公司,https://data.cyzone.cn/company/1320253.html,2,"1398899,1394727",1398899,"君创资本,易方达基金","https://data.cyzone.cn/capital/1398899.html,https://data.cyzone.cn/capital/1394727.html",战略投资,未披露,2015-12-31,"企业服务,传统企业服务,IT服务",16
2015123131029803007913,3102980,十方环能,山东十方环保能源股份有限公司,https://data.cyzone.cn/company/3102980.html,1,3007913,3007913,至尚资本,https://data.cyzone.cn/capital/3007913.html,新三板定增,未披露,2015-12-31,"环保,污染治理,固废处理",16
2015123112908661393854,1290866,天准科技,苏州天准科技股份有限公司,https://data.cyzone.cn/company/1290866.html,3,"1393854,3107430,3024196",1393854,"中金公司,东吴证券,元禾璞华","https://data.cyzone.cn/capital/1393854.html,https://data.cyzone.cn/capital/3107430.html,https://data.cyzone.cn/capital/3024196.html",新三板定增,未披露,2015-12-31,"智能制造,智能制造装备,精密仪器",16
2015123112813361395575,1281336,优亿医疗,浙江优亿医疗器械有限公司,https://data.cyzone.cn/company/1281336.html,1,1395575,1395575,泰达科投,https://data.cyzone.cn/capital/1395575.html,天使轮,未披露,2015-12-31,"医疗器械,医疗健康",16
2015123131099693292610,3109969,国新汇金,北京国新汇金股份有限公司,https://data.cyzone.cn/company/3109969.html,1,3292610,3292610,九鼎投资,https://data.cyzone.cn/capital/3292610.html,天使轮,未披露,2015-12-31,"金融,金融综合,金融媒体",16
2015123131104013235252,3110401,瑞铁股份,江苏瑞铁轨道装备股份有限公司,https://data.cyzone.cn/company/3110401.html,1,3235252,3235252,东北证券,https://data.cyzone.cn/capital/3235252.html,新三板定增,未披露,2015-12-31,未透露,16
2015123131106673337515,3110667,瑞德设计,杭州瑞德设计股份有限公司,https://data.cyzone.cn/company/3110667.html,1,3337515,3337515,浙商证券,https://data.cyzone.cn/capital/3337515.html,新三板定增,未披露,2015-12-31,"咨询服务,传统企业服务,企业服务",15
2015123131131101393234,3113110,鹰谷光电,重庆鹰谷光电股份有限公司,https://data.cyzone.cn/company/3113110.html,3,"1393234,1404148,1402607",1393234,"达晨创投,华控汇金,华控基金","https://data.cyzone.cn/capital/1393234.html,https://data.cyzone.cn/capital/1404148.html,https://data.cyzone.cn/capital/1402607.html",C轮,4500万人民币,2015-12-31,"物联网,物联网硬件,传感器",15
2015123112791671398062,1279167,世纪金光,北京世纪金光半导体有限公司,https://data.cyzone.cn/company/1279167.html,2,"1398062,1395365",1398062,"天风天睿,国家集成电路产业投资基金","https://data.cyzone.cn/capital/1398062.html,https://data.cyzone.cn/capital/1395365.html",A轮,未披露,2015-12-31,"智能制造,集成电路,芯片",15
