amount,result
数千万万,50000000
数百万人民币人民币,5000000
1人民币,1
12亿人民币人民币,1200000000
6000万人民币人民币,60000000
千万万,10000000
B轮和B+轮总额达到7亿人民币,7000000
百动人民币,1000000
350万人民币人民币,3500000
C轮及C+轮共1.17亿美元,819000000
240万人民币轮,2400000
超一亿人民币,120000000
2000余万人民币,20000000
A轮及A+轮共计1.1亿人民币,11000000
亿元及以上其他,100000000
A和A+两轮超5000万人民币,60000000
8000万人民币人民币,80000000
12.75亿 港元,1147500000
130万 美元,9100000
数百万个人民币,5000000
3000万美元美元,210000000
数千万万人民币,50000000
10亿人人民币,1000000000
二百万美元,2000000
1亿万人民币,100000000
"1,300.00万人民币",13000000
3000+万人民币,30000000
1000万万人民币,10000000
10万 美元,700000
千万万人民币,10000000
500万万人民币,5000000
1000万美元美元,70000000
"10,568.82万人民币",10568.82
数百万万人民币,5000000
近三百万美元,2700000
500万美元美元,35000000
547.33 万人民币,5473300
200余万人民币,2200000
1000万人民币人民币,10000000
800万美元美元,56000000
