Leader,Follower,Target,Source,Weight,Id
58同城,58同城,3005682,3005682,1,30056823005682
58同城,58同城,3005682,3005682,27,30056823005682
58同城,SIG海纳亚洲创投基金,3005682,1393215,1,30056821393215
58同城,光速中国,3005682,1393242,1,30056821393242
58同城,前海母基金,3005682,1395704,1,30056821395704
58同城,平安创投,3005682,1394605,1,30056821394605
58同城,弘道资本,3005682,1395624,1,30056821395624
58同城,梅花创投,3005682,1393349,1,30056821393349
58同城,经纬中国,3005682,1393268,1,30056821393268
58同城,腾讯投资,3005682,1393533,1,30056821393533
58同城,险峰（K2VC）,3005682,1393398,1,30056821393398
CBC宽带资本,CBC宽带资本,1393305,1393305,32,13933051393305
CBC宽带资本,DFJ德丰杰中国基金,1393305,1401365,1,13933051401365
CBC宽带资本,IDG资本,1393305,1393211,4,13933051393211
CBC宽带资本,SIG海纳亚洲创投基金,1393305,1393215,1,13933051393215
CBC宽带资本,七匹狼创投,1393305,3017480,1,13933053017480
CBC宽带资本,中关村发展集团,1393305,3536155,1,13933053536155
CBC宽带资本,中金公司,1393305,1393854,2,13933051393854
CBC宽带资本,九合创投,1393305,1393422,2,13933051393422
CBC宽带资本,云启资本,1393305,1393357,2,13933051393357
CBC宽带资本,创新工场,1393305,1393329,1,13933051393329
CBC宽带资本,千骥资本,1393305,1508357,1,13933051508357
CBC宽带资本,华兴新经济基金,1393305,1397167,1,13933051397167
CBC宽带资本,华创资本,1393305,1393344,1,13933051393344
CBC宽带资本,同创伟业,1393305,1393679,1,13933051393679
CBC宽带资本,君联资本,1393305,1166539,1,13933051166539
CBC宽带资本,启明创投,1393305,1393222,1,13933051393222
CBC宽带资本,晨兴资本,1393305,1396163,1,13933051396163
CBC宽带资本,极客帮创投,1393305,1394565,1,13933051394565
CBC宽带资本,海通开元,1393305,1397861,1,13933051397861
CBC宽带资本,湖畔山南资本,1393305,1393800,1,13933051393800
CBC宽带资本,真格基金,1393305,1393333,1,13933051393333
CBC宽带资本,祥峰投资,1393305,1393326,1,13933051393326
CBC宽带资本,红杉资本中国基金,1393305,1393213,3,13933051393213
CBC宽带资本,红点创投,1393305,1393244,1,13933051393244
CBC宽带资本,线性资本,1393305,1393345,1,13933051393345
CBC宽带资本,经纬中国,1393305,1393268,2,13933051393268
CBC宽带资本,联创永宣,1393305,1394692,2,13933051394692
CBC宽带资本,腾讯投资,1393305,1393533,1,13933051393533
CBC宽带资本,英特尔资本,1393305,1393228,1,13933051393228
CBC宽带资本,阿里巴巴,1393305,1564704,2,13933051564704
CBC宽带资本,顺为资本,1393305,1393334,1,13933051393334
CBC宽带资本,高榕资本,1393305,1393358,1,13933051393358
DCM中国,DCM中国,1393235,1393235,22,13932351393235
DCM中国,GGV纪源资本,1393235,1393232,1,13932351393232
DCM中国,IDG资本,1393235,1393211,6,13932351393211
DCM中国,SIG海纳亚洲创投基金,1393235,1393215,4,13932351393215
DCM中国,九合创投,1393235,1393422,2,13932351393422
DCM中国,云启资本,1393235,1393357,1,13932351393357
DCM中国,光信资本,1393235,1393471,1,13932351393471
DCM中国,凯鹏华盈,1393235,3006160,1,13932353006160
DCM中国,北极光创投,1393235,1393218,1,13932351393218
DCM中国,华兴资本,1393235,1191486,1,13932351191486
DCM中国,华创资本,1393235,1393344,1,13932351393344
DCM中国,原子创投,1393235,1393549,1,13932351393549
DCM中国,合力投资,1393235,1395652,1,13932351395652
DCM中国,同创伟业,1393235,1393679,1,13932351393679
DCM中国,君联资本,1393235,1166539,4,13932351166539
DCM中国,启明创投,1393235,1393222,2,13932351393222
