Name_Chinese,Id,Number of investment events,URL,Name_English
深创投,1393212,464,https://data.cyzone.cn/capital/1393212.html,Shenzhen Capital Group
IDG资本,1393211,459,https://data.cyzone.cn/capital/1393211.html,IDG
红杉资本中国基金,1393213,392,https://data.cyzone.cn/capital/1393213.html,Sequoia
真格基金,1393333,388,https://data.cyzone.cn/capital/1393333.html,ZhenFund
腾讯投资,1393533,372,https://data.cyzone.cn/capital/1393533.html,Tencent
经纬中国,1393268,347,https://data.cyzone.cn/capital/1393268.html,Matrix Partners
达晨创投,1393234,283,https://data.cyzone.cn/capital/1393234.html,Fortune
建设银行,1395357,283,https://data.cyzone.cn/capital/1395357.html,CCB
东方富海,3222174,239,https://data.cyzone.cn/capital/3222174.html,Oriental Fortune
创新工场,1393329,238,https://data.cyzone.cn/capital/1393329.html,Sinovation
险峰（K2VC）,1393398,231,https://data.cyzone.cn/capital/1393398.html,K2VC
中信证券,3107296,221,https://data.cyzone.cn/capital/3107296.html,CITIC
同创伟业,1393679,218,https://data.cyzone.cn/capital/1393679.html,Cowin
英诺天使基金,1393598,217,https://data.cyzone.cn/capital/1393598.html,Inno Angel
联创永宣,1394692,216,https://data.cyzone.cn/capital/1394692.html,New Margin
君联资本,1166539,214,https://data.cyzone.cn/capital/1166539.html,Legend
天星资本,3210166,204,https://data.cyzone.cn/capital/3210166.html,Tian Xing
中科招商,1393577,202,https://data.cyzone.cn/capital/1393577.html,CSC Group
九鼎投资,3292610,197,https://data.cyzone.cn/capital/3292610.html,Jiuding
梅花创投,1393349,191,https://data.cyzone.cn/capital/1393349.html,Plum
紫金科创,1395545,188,https://data.cyzone.cn/capital/1395545.html,Zijin Tech
阿里巴巴,1564704,185,https://data.cyzone.cn/capital/1564704.html,Alibaba
易方达基金,1394727,177,https://data.cyzone.cn/capital/1394727.html,E Fund
顺为资本,1393334,167,https://data.cyzone.cn/capital/1393334.html,Shun Wei
光谷人才基金,1395657,163,https://data.cyzone.cn/capital/1395657.html,Optics Valley Talent Fund
赛富投资基金,1393266,163,https://data.cyzone.cn/capital/1393266.html,SAIF
海通开元,1397861,162,https://data.cyzone.cn/capital/1397861.html,Haitong Kaiyuan
启明创投,1393222,158,https://data.cyzone.cn/capital/1393222.html,Qi Ming
京东数科,1405819,149,https://data.cyzone.cn/capital/1405819.html,JD Digits
奇虎360,1145589,144,https://data.cyzone.cn/capital/1145589.html,Qihu 360
启赋资本,1393348,144,https://data.cyzone.cn/capital/1393348.html,Qi Fu
中路资本,1395888,140,https://data.cyzone.cn/capital/1395888.html,Zhonglu Capital
天使湾创投,1393423,139,https://data.cyzone.cn/capital/1393423.html,Tisiwi
北极光创投,1393218,139,https://data.cyzone.cn/capital/1393218.html,Northern Light
德同资本,1393220,139,https://data.cyzone.cn/capital/1393220.html,De Tong
毅达资本,1393352,138,https://data.cyzone.cn/capital/1393352.html,Addor
松禾资本,1393267,134,https://data.cyzone.cn/capital/1393267.html,Green Pine
飞马旅,1393734,132,https://data.cyzone.cn/capital/1393734.html,Pegasus Brigade
平安创投,1394605,128,https://data.cyzone.cn/capital/1394605.html,Ping An
青松基金,1393476,127,https://data.cyzone.cn/capital/1393476.html,Qing Song
华映资本,1393539,126,https://data.cyzone.cn/capital/1393539.html,Merdian
新浪微博基金,1393564,124,https://data.cyzone.cn/capital/1393564.html,Weibo
九合创投,1393422,124,https://data.cyzone.cn/capital/1393422.html,Unity
中国人寿,1397109,122,https://data.cyzone.cn/capital/1397109.html,China Life Insurance
华创资本,1393344,121,https://data.cyzone.cn/capital/1393344.html,China Growth
SIG海纳亚洲创投基金,1393215,118,https://data.cyzone.cn/capital/1393215.html,SIG
中金公司,1393854,117,https://data.cyzone.cn/capital/1393854.html,CICC
软银中国,1393210,116,https://data.cyzone.cn/capital/1393210.html,Softbank
中科创星,1394859,116,https://data.cyzone.cn/capital/1394859.html,Zhongke Chuangxing
国泰君安,3118463,114,https://data.cyzone.cn/capital/3118463.html,Guotai Junan
小米科技,1564729,114,https://data.cyzone.cn/capital/1564729.html,Xiao Mi
星河互联,1153999,113,https://data.cyzone.cn/capital/1153999.html,Galaxy Internet
高榕资本,1393358,113,https://data.cyzone.cn/capital/1393358.html,Gao Rong
华泰证券,1397168,112,https://data.cyzone.cn/capital/1397168.html,Huatai Securities
